日期,库存(t),库存(盎司000s),清算数据(万盎司)
2021-01,9601.92,308709,
2021-02,9559.25,307337,
2021-03,9461.02,304179,
2021-04,9440.37,303515,
2021-05,9498.94,305398,
2021-06,9587.37,308241,
2021-07,9634.46,309755,
2021-08,9718.25,312449,
2021-09,9708.61,312139,
2021-10,9661.11,310612,
2021-11,9695.92,311731,
2021-12,9637.16,309842,
2022-01,9611.19,309007,
2022-02,9635.95,309803,
2022-03,9669.36,310877,
2022-04,9671.69,310952,
2022-05,9615.64,309150,
2022-06,9614.4,309110,
2022-07,9616.57,309180,
2022-08,9564.94,307520,
2022-09,9442.98,303599,
2022-10,9308.28,299268,
2022-11,9169.09,294793,
2022-12,9052.6,291048,
2023-01,9031.89,290382,
2023-02,8990.49,289051,
2023-03,8958.42,288020,
2023-04,8962.96,288166,
2023-05,8902.65,286227,
2023-06,8864.99,285016,
2023-07,8864.43,284998,
2023-08,8787.67,282530,
2023-09,8727.11,280583,
2023-10,8587.23,276086,
2023-11,8583.84,275977,
2023-12,8686.39,279274,
2024-01,8634.67,277611,
2024-02,8561.57,275261,
2024-03,8562.38,275287,
2024-04,8551.65,274942,
2024-05,8540.49,274583,
2024-06,8599.15,276469,
2024-07,8651.28,278145,
2024-08,8675.26,278916,
2024-09,8662.97,278521,
2024-10,8775.29,282132,
2024-11,8716.0,280226,
2024-12,8686.05,279263,
2025-01,8534.67,274396,
2025-02,8476.79,272535,
2025-03,8488.36,272907,
2025-04,8535.7,274429,
2025-05,8597.75,276424,
2025-06,8775.57,282141,
2025-07,8864.96,285015,
2025-08,8831.33,283934,1630.0
2025-09,8840.88,284241,1880.0
2025-10,8858.49,284807,1840.0
2025-11,8906.79,286360,1540.0
2025-12,9106.38,292777,1650.0
2026-01,9158.11,294440,
