日期,交割量(手)
2025-11-26,1137.35
2025-11-28,1130.83
2025-12-01,1128.49
2025-12-02,128.49
2025-12-03,1128.12
2025-12-04,1127.43
2025-12-05,1129.39
2025-12-08,1126.35
2025-12-09,2.81
2025-12-10,1123.14
2025-12-11,1123.32
2025-12-12,18.72
2025-12-15,672
2025-12-16,2647
2025-12-17,1899
2025-12-18,917
2025-12-19,728
2025-12-22,781
2025-12-23,417
2025-12-24,339
2025-12-26,166
2025-12-29,0
2025-12-30,3775
2025-12-31,136
2026-01-02,338
2026-01-05,611
2026-01-06,234
2026-01-07,357
2026-01-08,1140
2026-01-09,92

