日期,成交量(手),持仓量(手),全部合约持仓量(手),主力合约持仓量(手)
2025-11-26,229977,26951
2025-11-28,167020,7712
2025-12-01,249871,2839
2025-12-02,237238,2458
2025-12-03,193893,3415
2025-12-04,181431,1763
2025-12-05,225349,1478
2025-12-08,168463,1155
2025-12-09,202899,945
2025-12-10,219896,1544
2025-12-11,258763,1300
2025-12-12,318667,2022
2025-12-15,223993,2775,466073
2025-12-16,232091,3271,471093
2025-12-17,232327,2668,478188
2025-12-18,258811,1407,484610
2025-12-19,181095,1419,487043
2025-12-22,228938,963,499192
2025-12-23,272816,631,492103
2025-12-24,166863,481,488300
2025-12-26,203018,218,492660
2025-12-29,347015,95,479786
2025-12-30,228283,4432,481866
2025-12-31,186323,756,476471
2026-01-02,174245,1175,482412
2026-01-05,249207,1230,480541
2026-01-06,207208,845,488116
2026-01-07,234813,1433,489300
2026-01-08,279136,1698,493909
2026-01-09,288762,649,499546
2026-01-12,383200,637,525246
2026-01-13,345149,680,527455
2026-01-14,392771,855,523548
2026-01-15,266268,1317,535832

