日期,成交量(手),持仓量(手),主力合约,主力合约成交量(手),主力合约持仓量(手)
2025-12-29,502157
2025-12-30,602878
2025-12-31,435979
2026-01-05,191025
2026-01-06,308118
2026-01-07,325966
2026-01-08,316913
2026-01-09,266444
2026-01-12,422051,333409,主力合约2604,133347,130535
2026-01-13,370792,336512,主力合约2604,130801,144219
2026-01-14,401839,348525,主力合约2604,154090,155969
2026-01-15,392878,348771,主力合约2604,150963,158875
2026-01-16,279148,347107,主力合约2604,122555,163292
2026-01-19,419920,349205,主力合约2604,202264,167715
2026-01-20,282860,358798,主力合约2604,168464,185964
2026-01-21,546827,381298,主力合约2604,350273,207266
2026-01-22,550853,369389,主力合约2604,369271,201382
2026-01-23,433502,366320,主力合约2604,288050,206580
2026-01-26,579443,380821,主力合约2604,395962,215820
2026-01-27,573180,372222,主力合约2604,401545,217484
2026-01-28,577584,371941,主力合约2604,430617,222473
2026-01-29,687206,357570,主力合约2604,521258,211820
2026-01-30,1183666,326695,主力合约2604,894024,187299
2026-02-02,1255769,311857,主力合约2604,893317,178401
2026-02-03,1002716,315595,主力合约2604,726056,179295
2026-02-04,607573,316597,主力合约2604,462718,178544
2026-02-05,867947,310228,主力合约2604,631419,172503
2026-02-06,665995,303223,主力合约2604,494742,163840
2026-02-09,447637,300068,主力合约2604,331307,158759
2026-02-10,291869,301155,主力合约2604,218097,156910
2026-02-11,282196,304584,主力合约2604,217933,160510
2026-02-12,324449,302659,主力合约2604,246621,154552
2026-02-13,402639,300256,主力合约2604,303568,153140
