日期,租赁利率,Au9999成交量(kg),交割量(kg),成交量(kg),成交额(万元),交割比(%)
2025-11-07,0.34%,127128.72
2025-11-14,0.30%,137983.46
2025-11-21,0.31%,145818.8
2025-11-28,0.30%,128503
2025-12-05,0.37%,36175.48,135786.9,288720.50,,48.44%
2025-12-12,0.37%,45429.96,130454.82,277857.62,,48.42%
2025-12-19,0.40%,48193.26,150602.60,387107.00,,48.19%
2025-12-26,0.27%,65157.82,137162.64,382171.64,,47.92%
2026-12-31,0.27%,60892.30,142327.70,356265.10,,47.75
2026-01-09,0.27%,60574.10,229348.48,339740.08,58580828.57,67.51
2026-01-16,0.30%,57435.40,175314.58,373851.98,38130439.36,46.89
2026-01-23,0.28%,74741.18,181459.28,440622.28,47205223.31,50.78
2026-01-30,0.47%,135066.78,301314.04,826758.04,97172152.24,44.80
2026-02-06,0.27%,113507.34,292122.48,529104.28,57356566.87,55.21
2026-02-13,0.90%,38085.16,232112.60,266478.00,29645862.99,50.84
2026-02-27,0.48%,26761.74,104830.92,180939.52,20700227.07,51.28
2026-03-06,0.34%,63646.70,206626.28,471475.88,54748828.37,50.25
2026-03-13,0.32%,43492.36,182982.12,350217.32,39845053.98,50.44
2026-03-20,0.31%,57485.94,236376.84,431581.04,46598524.25,50.88
