日期,成交量(量)
2026-01-09,13672678
2026-01-12,20985755
2026-01-13,16643732
2026-01-14,18648352
2026-01-15,14252654
2026-01-16,20851408
2026-01-20,21307081
2026-01-21,39019774
2026-01-22,19250626
2026-01-23,21412556
2026-01-26,34244746
2026-01-27,28401644
2026-01-28,44165759
2026-01-29,69966337
2026-01-30,86241557
2026-02-02,41681841
2026-02-03,28704027
2026-02-04,24444827
2026-02-05,17661518
2026-02-06,12494547
2026-02-09,12460337
2026-02-10,7872801
2026-02-11,11268514
2026-02-12,20586614
2026-02-13,12127922
2026-02-17,11100078
2026-02-18,10226228
2026-02-19,8411450
2026-02-20,14316250
2026-02-23,17440518
2026-02-24,14146483
2026-02-25,12997504
2026-02-26,12519880
2026-02-27,17151418
2026-03-02,19915084
2026-03-03,22591539
2026-03-04,9985887
2026-03-05,11674826
2026-03-06,10489815
2026-03-09,8829849
2026-03-10,9616837
2026-03-11,7522851
2026-03-12,11900581
2026-03-13,11703769
2026-03-16,8964093
2026-03-17,7665563
2026-03-18,18375613
2026-03-19,30205978
2026-03-20,26954800
2026-03-23,36796839
2026-03-24,17478516
2026-03-25,15713158
2026-03-26,15756340
2026-03-27,16507871


