日期,名称,成交量(万),成交额(亿元)
2026-01-09,华安黄金ETF,379.19,36.20
2026-01-12,华安黄金ETF,493.50,48.22
2026-01-13,华安黄金ETF,398.24,39.01
2026-01-14,华安黄金ETF,436.95,43.22
2026-01-15,华安黄金ETF,554.29,54.60
2026-01-16,华安黄金ETF,327.84,32.29
2026-01-19,华安黄金ETF,480.62,47.97
2026-01-20,华安黄金ETF,533.81,53.63
2026-01-21,华安黄金ETF,984.51,102.30
2026-01-22,华安黄金ETF,719.69,73.99
2026-01-23,华安黄金ETF,729.89,77.47
2026-01-26,华安黄金ETF,960.47,104.63
2026-01-27,华安黄金ETF,771.11,83.96
2026-01-28,华安黄金ETF,1066.20,119.61
2026-01-29,华安黄金ETF,1497.11,177.99
2026-01-30,华安黄金ETF,2301.61,257.78
2026-02-02,华安黄金ETF,1899.82,191.45
2026-02-03,华安黄金ETF,2100.92,216.13
2026-02-04,华安黄金ETF,1424.30,154.13
2026-02-05,华安黄金ETF,1909.05,200.57
2026-02-06,华安黄金ETF,1841.28,190.34
2026-02-09,华安黄金ETF,1161.22,124.18
2026-02-10,华安黄金ETF,702.60,75.13
2026-02-11,华安黄金ETF,681.83,73.18
2026-02-12,华安黄金ETF,600.48,64.45
2026-02-13,华安黄金ETF,769.39,81.31
2026-02-24,华安黄金ETF,752.31,82.42
2026-02-25,华安黄金ETF,607.48,66.56
2026-02-26,华安黄金ETF,437.77,47.81
2026-02-27,华安黄金ETF,463.13,50.63
